cite,title,year,venue,paradigm,stage,paper_role,privacy_notion,attack_or_defense,modality,threat_model,assumptions,used_in_figure2,used_in_taxonomy,notes
139,Tinyvit: Fast pretraining distillation for small vision transformers,2022,ECCV,background,NA,dataset/model,NA,dataset/model,vision,NA,case-study support reference,no,no,case-study support reference
140,Privacy risk in machine learning: Analyzing the connection to overfitting,2018,IEEE CSF,background,NA,background,NA,neither,NA,NA,background/reference paper,no,no,background reference
141,Enhancing model privacy in federated learning with random masking and quantization,2025,Unknown,FL,NA,defense,multi,defense,NA,NA,mitigation/evaluation setting,no,no,
142,Rouge: A package for automatic evaluation of summaries,2004,Workshop Note,background,NA,dataset/model,NA,dataset/model,NA,NA,case-study support reference,no,no,case-study support reference
143,Differentially private diffusion models,,TMLR,FM,NA,defense,multi,defense,NA,NA,mitigation/evaluation setting,no,no,
144,Functional renyi differential privacy for generative modeling,2023,NeurIPS,FM,NA,background,NA,neither,NA,NA,background/reference paper,no,no,background reference
145,The unreasonable effectiveness of deep features as a perceptual metric,2018,CVPR,background,NA,dataset/model,NA,dataset/model,vision,NA,case-study support reference,no,no,case-study support reference
146,The convergence of sparsified gradient methods,2018,NeurIPS,FL,NA,background,NA,neither,NA,NA,background/reference paper,no,no,background reference
147,Deep gradient compression: Reducing the communication bandwidth for distributed training,2017,arXiv,FL,NA,background,NA,neither,NA,NA,background/reference paper,no,no,background reference
148,Qsgd: Communication-efficient sgd via gradient quantization and encoding,2017,NeurIPS,FL,NA,background,NA,neither,NA,NA,background/reference paper,no,no,background reference
149,The algorithmic foundations of differential privacy,2014,Foundations and Trends in Theoretical Computer Science,background,NA,theory,NA,theory,NA,NA,conceptual/theoretical framing,no,no,
150,Managing your private and public data: Bringing down inference attacks against your privacy,2015,IEEE Journal of Selected Topics in Signal Processing,background,NA,background,NA,neither,NA,NA,background/reference paper,no,no,background reference
151,Man is to computer programmer as woman is to homemaker? debiasing word embeddings,2016,NeurIPS,background,NA,background,NA,neither,NA,NA,background/reference paper,no,no,background reference
152,Flocks of stochastic parrots: Differentially private prompt learning for large language models,2023,NeurIPS,FM,NA,defense,multi,defense,text,NA,mitigation/evaluation setting,no,no,
153,Certified robustness to adversarial examples with differential privacy,2018,arXiv,NA,NA,defense,multi,defense,NA,NA,mitigation/evaluation setting,no,no,
154,Can you really backdoor federated learning?,2019,NeurIPS,FL,NA,attack,backdoor_privacy,attack,NA,D,compromised or manipulated artifact,no,no,
155,Machine learning with adversaries: Byzantine tolerant gradient descent,2017,NeurIPS,FL,NA,background,NA,neither,NA,NA,background/reference paper,no,no,background reference
156,An experimental study of byzantinerobust aggregation schemes in federated learning,2023,IEEE Transactions on Big Data,FL,NA,defense,multi,defense,NA,NA,mitigation/evaluation setting,no,no,
157,Byzantine-robust federated learning through collaborative malicious gradient filtering,2022,ICDCS,FL,NA,defense,multi,defense,NA,NA,mitigation/evaluation setting,no,no,
158,Backdoor attacks-resilient aggregation based on robust filtering of outliers in federated learning for image classification,2022,Knowledge-Based Systems,FL,NA,defense,backdoor_privacy,defense,NA,D,compromised or manipulated artifact; mitigation/evaluation setting,no,no,
159,Toward cleansing backdoored neural networks in federated learning,2022,ICDCS,FL,NA,defense,backdoor_privacy,defense,NA,D,compromised or manipulated artifact; mitigation/evaluation setting,no,no,
160,Language models are unsupervised multitask learners,2019,OpenAI Report,FM,NA,dataset/model,NA,dataset/model,text,NA,case-study support reference,no,no,case-study support reference
